client;email;produit;quantite;prixUnitaire;prixTotal;dateCommande
BAGGIO;robertobaggio@gmail.com;Tee shirt PUMA;7;15.00;105.00;2023-05-05
BAGGIO;robertobaggio@gmail.com;Tee shirt NIKE;1;17.00;17.00;2023-05-05
BAGGIO;robertobaggio@gmail.com;Tee shirt PUMA;8;15.00;120.00;2024-06-24
BAGGIO;robertobaggio@gmail.com;Tee shirt UMBRO;6;13.00;78.00;2024-06-24
BAGGIO;robertobaggio@gmail.com;Tee shirt ADIDAS;6;16.00;96.00;2024-06-24
BAGGIO;robertobaggio@gmail.com;Tee shirt NIKE;7;17.00;119.00;2024-12-24
BAGGIO;robertobaggio@gmail.com;Tee shirt ADIDAS;3;16.00;48.00;2024-12-24
BAGGIO;robertobaggio@gmail.com;Tee shirt PUMA;4;15.00;60.00;2024-12-24
BAGGIO;robertobaggio@gmail.com;Tee shirt UMBRO;9;13.00;117.00;2022-04-23
BAGGIO;robertobaggio@gmail.com;Tee shirt ADIDAS;3;16.00;48.00;2022-04-23
BAGGIO;robertobaggio@gmail.com;Tee shirt PUMA;4;15.00;60.00;2022-04-23
BAGGIO;robertobaggio@gmail.com;Tee shirt NIKE;2;17.00;34.00;2022-04-23
BAGGIO;robertobaggio@gmail.com;Tee shirt UMBRO;1;13.00;13.00;2020-07-20
BAGGIO;robertobaggio@gmail.com;Tee shirt NIKE;7;17.00;119.00;2020-07-20
BAGGIO;robertobaggio@gmail.com;Tee shirt PUMA;4;15.00;60.00;2020-07-20
BAGGIO;robertobaggio@gmail.com;Tee shirt UMBRO;1;13.00;13.00;2022-11-10
BAGGIO;robertobaggio@gmail.com;Tee shirt NIKE;7;17.00;119.00;2022-11-10
BAGGIO;robertobaggio@gmail.com;Tee shirt PUMA;4;15.00;60.00;2022-11-10
BAGGIO;robertobaggio@gmail.com;Tee shirt ADIDAS;9;16.00;144.00;2022-11-10
ZIDANE;zz@gmail.com;Tee shirt NIKE;1;17.00;17.00;2022-06-22
ZIDANE;zz@gmail.com;Tee shirt ADIDAS;4;16.00;64.00;2022-06-22
ZIDANE;zz@gmail.com;Tee shirt UMBRO;2;13.00;26.00;2022-06-22
ZIDANE;zz@gmail.com;Tee shirt PUMA;8;15.00;120.00;2022-06-22
ZIDANE;zz@gmail.com;Tee shirt PUMA;1;15.00;15.00;2023-11-09
ZIDANE;zz@gmail.com;Tee shirt ADIDAS;3;16.00;48.00;2023-11-09
ZIDANE;zz@gmail.com;Tee shirt ADIDAS;7;16.00;112.00;2022-07-13
ZIDANE;zz@gmail.com;Tee shirt PUMA;1;15.00;15.00;2022-07-13
ZIDANE;zz@gmail.com;Tee shirt UMBRO;2;13.00;26.00;2022-07-13
ZIDANE;zz@gmail.com;Tee shirt NIKE;9;17.00;153.00;2022-07-13
ZIDANE;zz@gmail.com;Tee shirt NIKE;1;17.00;17.00;2023-04-08
ZIDANE;zz@gmail.com;Tee shirt UMBRO;4;13.00;52.00;2023-04-08
ZIDANE;zz@gmail.com;Tee shirt PUMA;4;15.00;60.00;2023-04-08
ZIDANE;zz@gmail.com;Tee shirt UMBRO;9;13.00;117.00;2022-04-17
ZIDANE;zz@gmail.com;Tee shirt ADIDAS;5;16.00;80.00;2022-04-17
ZIDANE;zz@gmail.com;Tee shirt NIKE;5;17.00;85.00;2022-04-17
ZIDANE;zz@gmail.com;Tee shirt PUMA;8;15.00;120.00;2024-08-25
ZIDANE;zz@gmail.com;Tee shirt NIKE;8;17.00;136.00;2024-08-25
MELLAZ;mellazkoceila@gmail.com;Tee shirt PUMA;2;15.00;30.00;2021-10-06
MELLAZ;mellazkoceila@gmail.com;Tee shirt UMBRO;3;13.00;39.00;2021-10-06
MELLAZ;mellazkoceila@gmail.com;Tee shirt NIKE;7;17.00;119.00;2021-10-06
MELLAZ;mellazkoceila@gmail.com;Tee shirt ADIDAS;7;16.00;112.00;2021-10-06
MELLAZ;mellazkoceila@gmail.com;Tee shirt NIKE;3;17.00;51.00;2024-04-20
MELLAZ;mellazkoceila@gmail.com;Tee shirt ADIDAS;1;16.00;16.00;2024-04-20
MELLAZ;mellazkoceila@gmail.com;Tee shirt UMBRO;8;13.00;104.00;2024-04-20
MELLAZ;mellazkoceila@gmail.com;Tee shirt NIKE;1;17.00;17.00;2023-11-09
MELLAZ;mellazkoceila@gmail.com;Tee shirt UMBRO;9;13.00;117.00;2023-11-09
MELLAZ;mellazkoceila@gmail.com;Tee shirt ADIDAS;3;16.00;48.00;2023-11-09
MELLAZ;mellazkoceila@gmail.com;Tee shirt NIKE;8;17.00;136.00;2021-05-02
MELLAZ;mellazkoceila@gmail.com;Tee shirt ADIDAS;4;16.00;64.00;2021-05-02
MELLAZ;mellazkoceila@gmail.com;Tee shirt UMBRO;4;13.00;52.00;2021-05-02
MELLAZ;mellazkoceila@gmail.com;Tee shirt UMBRO;3;13.00;39.00;2024-02-14
MELLAZ;mellazkoceila@gmail.com;Tee shirt ADIDAS;5;16.00;80.00;2024-02-14
MELLAZ;mellazkoceila@gmail.com;Tee shirt PUMA;6;15.00;90.00;2024-02-14
MELLAZ;mellazkoceila@gmail.com;Tee shirt NIKE;1;17.00;17.00;2022-04-30
MELLAZ;mellazkoceila@gmail.com;Tee shirt ADIDAS;8;16.00;128.00;2022-04-30
MELLAZ;mellazkoceila@gmail.com;Tee shirt UMBRO;7;13.00;91.00;2022-04-30
BAGGIO;robertobaggio@gmail.com;Tee shirt ADIDAS;9;16.00;144.00;2023-01-08
BAGGIO;robertobaggio@gmail.com;Tee shirt UMBRO;4;13.00;52.00;2023-01-08
BAGGIO;robertobaggio@gmail.com;Tee shirt PUMA;1;15.00;15.00;2023-01-08
BAGGIO;robertobaggio@gmail.com;Tee shirt NIKE;7;17.00;119.00;2020-11-01
BAGGIO;robertobaggio@gmail.com;Tee shirt ADIDAS;4;16.00;64.00;2020-11-01
BAGGIO;robertobaggio@gmail.com;Tee shirt UMBRO;6;13.00;78.00;2020-11-01
BAGGIO;robertobaggio@gmail.com;Tee shirt NIKE;7;17.00;119.00;2022-04-23
BAGGIO;robertobaggio@gmail.com;Tee shirt PUMA;6;15.00;90.00;2022-04-23
BAGGIO;robertobaggio@gmail.com;Tee shirt ADIDAS;8;16.00;128.00;2022-04-23
BAGGIO;robertobaggio@gmail.com;Tee shirt PUMA;8;15.00;120.00;2021-04-29
BAGGIO;robertobaggio@gmail.com;Tee shirt UMBRO;3;13.00;39.00;2021-04-29
BAGGIO;robertobaggio@gmail.com;Tee shirt ADIDAS;4;16.00;64.00;2021-04-29
BAGGIO;robertobaggio@gmail.com;Tee shirt NIKE;2;17.00;34.00;2024-06-12
BAGGIO;robertobaggio@gmail.com;Tee shirt UMBRO;7;13.00;91.00;2024-06-12
BAGGIO;robertobaggio@gmail.com;Tee shirt ADIDAS;5;16.00;80.00;2024-06-12
BAGGIO;robertobaggio@gmail.com;Tee shirt PUMA;1;15.00;15.00;2024-06-12
BAGGIO;robertobaggio@gmail.com;Tee shirt PUMA;8;15.00;120.00;2023-04-18
BAGGIO;robertobaggio@gmail.com;Tee shirt UMBRO;7;13.00;91.00;2023-04-18
BAGGIO;robertobaggio@gmail.com;Tee shirt NIKE;4;17.00;68.00;2023-04-18
BAGGIO;robertobaggio@gmail.com;Tee shirt ADIDAS;1;16.00;16.00;2023-04-18
MELLAZ;mellazkoceila@gmail.com;Tee shirt NIKE;3;17.00;51.00;2022-12-10
MELLAZ;mellazkoceila@gmail.com;Tee shirt ADIDAS;4;16.00;64.00;2022-12-10
MELLAZ;mellazkoceila@gmail.com;Tee shirt UMBRO;1;13.00;13.00;2022-12-10
MELLAZ;mellazkoceila@gmail.com;Tee shirt PUMA;7;15.00;105.00;2022-12-04
MELLAZ;mellazkoceila@gmail.com;Tee shirt ADIDAS;3;16.00;48.00;2022-12-04
MELLAZ;mellazkoceila@gmail.com;Tee shirt UMBRO;1;13.00;13.00;2022-12-04
